 workload,recordtype,operation
microsoftdefenderforidentity,microsoftdefenderforidentityaudit,workspacealertthresholdlevelupdated
microsoftdefenderforidentity,microsoftdefenderforidentityaudit,workspacecreated
microsoftdefenderforidentity,microsoftdefenderforidentityaudit,workspacedeleted
microsoftdefenderforidentity,microsoftdefenderforidentityaudit,workspacepocmodeupdated
microsoftdefenderforidentity,microsoftdefenderforidentityaudit,workspaceportalredirectionmodeupdated
microsoftedge,webcontentfiltering,urlnavigationallowed
microsoftedge,webcontentfiltering,urlnavigationblocked
MicrosoftFlow,HostedRpa,HostedGroupAadJoin
microsoftflow,microsoftflow,createflow
microsoftflow,microsoftflow,deleteflow
microsoftflow,microsoftflow,deletepermissions
microsoftflow,microsoftflow,editflow
microsoftflow,microsoftflow,putpermissions
microsoftflow,microsoftflow,renewtrial
microsoftflow,microsoftflow,startapaidtrial
microsoftforms,microsoftforms,addformcoauthor
microsoftforms,microsoftforms,addspecificresponder
microsoftforms,microsoftforms,allowanonymousresponse
microsoftforms,microsoftforms,allowshareformforcopy
microsoftforms,microsoftforms,collectioncreated
microsoftforms,microsoftforms,collectionharddeleted
microsoftforms,microsoftforms,collectionrenamed
microsoftforms,microsoftforms,collectionsoftdeleted
microsoftforms,microsoftforms,collectionupdated
microsoftforms,microsoftforms,connecttoexcelworkbook
microsoftforms,microsoftforms,createcomment
microsoftforms,microsoftforms,createform
microsoftforms,microsoftforms,createresponse
microsoftforms,microsoftforms,deleteallresponses
microsoftforms,microsoftforms,deleteform
microsoftforms,microsoftforms,deleteresponse
microsoftforms,microsoftforms,deletesummarylink
microsoftforms,microsoftforms,disablecollaboration
microsoftforms,microsoftforms,disablespecificresponse
microsoftforms,microsoftforms,disallowanonymousresponse
microsoftforms,microsoftforms,disallowshareformforcopy
microsoftforms,microsoftforms,editform
microsoftforms,microsoftforms,enablesameorgcollaboration
microsoftforms,microsoftforms,enablespecificcollaboaration
microsoftforms,microsoftforms,enablespecificresponse
microsoftforms,microsoftforms,enableworkorschoolcollaboration
microsoftforms,microsoftforms,exportform
microsoftforms,microsoftforms,getsummarylink
microsoftforms,microsoftforms,listforms
microsoftforms,microsoftforms,movedformintocollection
microsoftforms,microsoftforms,movedformoutofcollection
microsoftforms,microsoftforms,moveform
microsoftforms,microsoftforms,previewform
microsoftforms,microsoftforms,proinvitation
microsoftforms,microsoftforms,removeformcoauthor
microsoftforms,microsoftforms,removespecificresponder
microsoftforms,microsoftforms,submitresponse
microsoftforms,microsoftforms,updateformsetting
microsoftforms,microsoftforms,updatephishingstatus
microsoftforms,microsoftforms,updateresponse
microsoftforms,microsoftforms,updateuserphishingstatus
microsoftforms,microsoftforms,updateusersetting
microsoftforms,microsoftforms,viewform
microsoftforms,microsoftforms,viewresponse
microsoftforms,microsoftforms,viewresponses
microsoftforms,microsoftforms,viewruntimeform
microsoftgraphdataconnect,microsoftgraphdataconnectconsent,consentmodificationrequest
microsoftgraphdataconnect,microsoftgraphdataconnectoperation,dataaccessrequest
microsoftplaces,placesdirectory,createdplace
microsoftplaces,placesdirectory,deletedplace
microsoftplaces,placesdirectory,updatedplace
MicrosoftSecurityExposureManagement,CriticalAssetManagementClassification,CreateClassification
MicrosoftSecurityExposureManagement,DefenderPreviewFeatures,UpdatePreviewFeaturesState
MicrosoftSecurityExposureManagement,DeviceDiscoverySettings,UpdateDiscoveryMode
MicrosoftSecurityExposureManagement,DeviceDiscoverySettings,UpdateLog4j2
MicrosoftSecurityExposureManagement,DeviceDiscoverySettings,UpdateStandardDiscovery
MicrosoftSecurityExposureManagement,DeviceDiscoverySettingsAuthenticatedScans,CreateAuthenticatedScans
MicrosoftSecurityExposureManagement,DeviceDiscoverySettingsExclusion,CreateExclusion
microsoftstream,microsoftstream,stream51
microsoftstream,microsoftstream,stream52
microsoftstream,microsoftstream,stream53
microsoftstream,microsoftstream,stream54
microsoftstream,microsoftstream,stream55
microsoftstream,microsoftstream,stream56
microsoftstream,microsoftstream,stream57
microsoftstream,microsoftstream,streamcreatechannel
microsoftstream,microsoftstream,streamcreategroup
microsoftstream,microsoftstream,streamcreatevideo
microsoftstream,microsoftstream,streamcreatevideocomment
microsoftstream,microsoftstream,streamcreatevideoevent
microsoftstream,microsoftstream,streamdeletechannel
microsoftstream,microsoftstream,streamdeletegroup
microsoftstream,microsoftstream,streamdeleteuser
microsoftstream,microsoftstream,streamdeletevideo
microsoftstream,microsoftstream,streamdeletevideocomment
microsoftstream,microsoftstream,streamdeletevideoevent
microsoftstream,microsoftstream,streamdeletevideofromrecyclebin
microsoftstream,microsoftstream,streamdeletevideotexttrack
microsoftstream,microsoftstream,streamdeletevideothumbnail
microsoftstream,microsoftstream,streameditadminglobalrolemembers
microsoftstream,microsoftstream,streameditadmintenantsettings
microsoftstream,microsoftstream,streameditchannel
microsoftstream,microsoftstream,streameditgroup
microsoftstream,microsoftstream,streameditgroupmemberships
microsoftstream,microsoftstream,streameditliveevent
microsoftstream,microsoftstream,streamedittranscript
microsoftstream,microsoftstream,streamedituser
microsoftstream,microsoftstream,streameditusersettings
microsoftstream,microsoftstream,streameditvideo
microsoftstream,microsoftstream,streameditvideopermissions
microsoftstream,microsoftstream,streaminvokechannelsetthumbnail
microsoftstream,microsoftstream,streaminvokechannelview
microsoftstream,microsoftstream,streaminvokeemptyrecyclebin
microsoftstream,microsoftstream,streaminvokeexportuserdata
microsoftstream,microsoftstream,streaminvokegettexttrack
microsoftstream,microsoftstream,streaminvokegettranscript
microsoftstream,microsoftstream,streaminvokegetvideo
microsoftstream,microsoftstream,streaminvokegroupview
microsoftstream,microsoftstream,streaminvokehideperson
microsoftstream,microsoftstream,streaminvokeliveeventmakeprivate
microsoftstream,microsoftstream,streaminvokeliveeventmakepublic
microsoftstream,microsoftstream,streaminvokelivestartbroadcast
microsoftstream,microsoftstream,streaminvokelivestartingest
microsoftstream,microsoftstream,streaminvokelivestopingest
microsoftstream,microsoftstream,streaminvokemergeperson
microsoftstream,microsoftstream,streaminvokerestorevideo
microsoftstream,microsoftstream,streaminvokeunhideperson
microsoftstream,microsoftstream,streaminvokeuserdataexportdownload
microsoftstream,microsoftstream,streaminvokevideodeletemultiple
microsoftstream,microsoftstream,streaminvokevideodownload
microsoftstream,microsoftstream,streaminvokevideoeventview
microsoftstream,microsoftstream,streaminvokevideolike
microsoftstream,microsoftstream,streaminvokevideomakeprivate
microsoftstream,microsoftstream,streaminvokevideomakepublic
microsoftstream,microsoftstream,streaminvokevideopostprocessing
microsoftstream,microsoftstream,streaminvokevideosetlink
microsoftstream,microsoftstream,streaminvokevideoshare
microsoftstream,microsoftstream,streaminvokevideotexttrackupload
microsoftstream,microsoftstream,streaminvokevideothumbnailupload
microsoftstream,microsoftstream,streaminvokevideounlike
microsoftstream,microsoftstream,streaminvokevideoupload
microsoftstream,microsoftstream,streaminvokevideoview
microsoftteams,compliancedlpexchange,dlpinfo
microsoftteams,compliancedlpexchange,dlprulematch
microsoftteams,compliancedlpexchange,dlpruleundo
microsoftteams,compliancedlpsharepoint,dlpinfo
microsoftteams,compliancedlpsharepoint,dlprulematch
microsoftteams,compliancedlpsharepoint,dlpruleundo
microsoftteams,exchangeadmin,new-mailbox
microsoftteams,exchangeitem,create
microsoftteams,exchangeitem,mailboxlogin
microsoftteams,exchangeitem,sendas
microsoftteams,exchangeitem,update
microsoftteams,exchangeitemgroup,harddelete
microsoftteams,exchangeitemgroup,move
microsoftteams,exchangeitemgroup,movetodeleteditems
microsoftteams,exchangeitemgroup,softdelete
microsoftteams,microsoftteams,appcleanedupafterexpiration
microsoftteams,microsoftteams,appcreated
microsoftteams,microsoftteams,appdeleted
microsoftteams,microsoftteams,appdeletedfromcatalog
microsoftteams,microsoftteams,appinstalled
microsoftteams,microsoftteams,apppublishedtocatalog
microsoftteams,microsoftteams,apppublishrequestcreated
microsoftteams,microsoftteams,apppublishrequestapproved
microsoftteams,microsoftteams,apppublishrequestrejected
microsoftteams,microsoftteams,apppublishrequestcancelled
microsoftteams,microsoftteams,appshared
microsoftteams,microsoftteams,appuninstalled
microsoftteams,microsoftteams,appupdatedincatalog
microsoftteams,microsoftteams,appupgraded
microsoftteams,microsoftteams,botaddedtoteam
microsoftteams,microsoftteams,botremovedfromteam
MicrosoftTeams,MicrosoftTeams,CallParticipantDetail
microsoftteams,microsoftteams,channeladded
microsoftteams,microsoftteams,channeldeleted
microsoftteams,microsoftteams,channelownerresponded
microsoftteams,microsoftteams,channelsettingchanged
microsoftteams,microsoftteams,chatcreated
microsoftteams,microsoftteams,chatretrieved
microsoftteams,microsoftteams,chatupdated
microsoftteams,microsoftteams,connectoradded
microsoftteams,microsoftteams,connectorremoved
microsoftteams,microsoftteams,connectorupdated
microsoftteams,microsoftteams,createthreadprobe
MicrosoftTeams,MicrosoftTeams,GraphMeetingRecordingContentRead
MicrosoftTeams,MicrosoftTeams,GraphMeetingRecordingRead
MicrosoftTeams,MicrosoftTeams,GraphMeetingRecordingsListed
MicrosoftTeams,MicrosoftTeams,GraphMeetingTranscriptContentRead
MicrosoftTeams,MicrosoftTeams,GraphMeetingTranscriptRead
MicrosoftTeams,MicrosoftTeams,GraphMeetingTranscriptsListed
MicrosoftTeams,MicrosoftTeams,GraphMessageDeleted
MicrosoftTeams,MicrosoftTeams,GraphMessageUpdated
microsoftteams,microsoftteams,inviteeresponded
microsoftteams,microsoftteams,invitesent
MicrosoftTeams,MicrosoftTeams,MeetingCreated
MicrosoftTeams,MicrosoftTeams,MeetingDeleted
microsoftteams,microsoftteams,meetingdetail
microsoftteams,microsoftteams,meetingparticipantdetail
microsoftteams,microsoftteams,meetingparticipanttrack
MicrosoftTeams,MicrosoftTeams,MeetingUpdated
microsoftteams,microsoftteams,memberadded
microsoftteams,microsoftteams,memberremoved
microsoftteams,microsoftteams,memberrolechanged
microsoftteams,microsoftteams,messagecreatedhaslink
microsoftteams,microsoftteams,messagecreatednotification
microsoftteams,microsoftteams,messagedeleted
microsoftteams,microsoftteams,messagedeletednotification
microsoftteams,microsoftteams,messageeditedhaslink
microsoftteams,microsoftteams,MessageEditedHasViolation
microsoftteams,microsoftteams,messagehostedcontentread
microsoftteams,microsoftteams,messagehostedcontentslisted
microsoftteams,microsoftteams,messageread
microsoftteams,microsoftteams,messagereadreceiptreceived
microsoftteams,microsoftteams,messagesent
microsoftteams,microsoftteams,MessageSentHasViolation
microsoftteams,microsoftteams,messagesexported
microsoftteams,microsoftteams,messageslisted
microsoftteams,microsoftteams,messageupdated
microsoftteams,microsoftteams,messageupdatednotification
microsoftteams,microsoftteams,performedcardaction
microsoftteams,microsoftteams,reactedtomessage
MicrosoftTeams,MicrosoftTeams,RecordingsExported
microsoftteams,microsoftteams,subscribedtomessages
microsoftteams,microsoftteams,tabadded
microsoftteams,microsoftteams,tabremoved
microsoftteams,microsoftteams,tabupdated
microsoftteams,microsoftteams,teamcreated
microsoftteams,microsoftteams,teamdeleted
microsoftteams,microsoftteams,teamsadminaction
microsoftteams,microsoftteams,teamsettingchanged
MicrosoftTeams,MicrosoftTeams,TeamsImpersonationDetected
microsoftteams,microsoftteams,teamssessionstarted
microsoftteams,microsoftteams,teamstenantsettingchanged
microsoftteams,microsoftteams,teamsusersignedout
microsoftteams,microsoftteams,terminatedsharing
microsoftteams,microsoftteams,togethermodesceneadded
microsoftteams,microsoftteams,togethermodesceneremoved
MicrosoftTeams,MicrosoftTeams,TranscriptsExported
microsoftteams,microsoftteams,useraccepted
microsoftteams,microsoftteams,userblocked
microsoftteams,microsoftteams,userunblocked
MicrosoftTeams,MicrosoftTeamsUserConcern,MessageReported
MicrosoftTeams,MicrosoftTeamsUserConcern,CallReported
MicrosoftTeams,MicrosoftTeamsUserConcern,UserReported
microsoftteams,microsoftteamsadmin,admininsightscompleted
microsoftteams,microsoftteamsadmin,admininsightsinitialized
microsoftteams,microsoftteamsadmin,teamsadminaction
microsoftteams,microsoftteamsadmin,teamsadmincenteradvisorplansadded
microsoftteams,microsoftteamsadmin,teamsadmincenteradvisorteamsadded
microsoftteams,microsoftteamsadmin,teamsadmincenteradvisorteamsdeleted
microsoftteams,microsoftteamsadmin,teamsadmincenterappconfigurationedited
microsoftteams,microsoftteamsadmin,teamsadmincenterappgraphconnectionedited
microsoftteams,microsoftteamsadmin,teamsexportdownloadstarted
microsoftteams,microsoftteamsadmin,teamsexportrequested
microsoftteams,microsoftteamsadmin,writetenantsettings
MicrosoftTeams,MicrosoftTeamsAdmin,WriteUserObjPreference
MicrosoftTeams,MicrosoftTeamsSensitivityLabelAction,SensitivityLabelApplied
MicrosoftTeams,MicrosoftTeamsSensitivityLabelAction,SensitivityLabelRemoved
microsoftteams,microsoftteamsshifts,breakended
microsoftteams,microsoftteamsshifts,breakstarted
microsoftteams,microsoftteamsshifts,clockedin
microsoftteams,microsoftteamsshifts,clockedout
microsoftteams,microsoftteamsshifts,offshiftdialogaccepted
microsoftteams,microsoftteamsshifts,openshiftadded
microsoftteams,microsoftteamsshifts,openshiftdeleted
microsoftteams,microsoftteamsshifts,openshiftedited
microsoftteams,microsoftteamsshifts,requestadded
microsoftteams,microsoftteamsshifts,requestcancelled
microsoftteams,microsoftteamsshifts,requestrespondedto
microsoftteams,microsoftteamsshifts,schedulegroupadded
microsoftteams,microsoftteamsshifts,schedulegroupdeleted
microsoftteams,microsoftteamsshifts,schedulegroupedited
microsoftteams,microsoftteamsshifts,schedulesettingchanged
microsoftteams,microsoftteamsshifts,scheduleshared
microsoftteams,microsoftteamsshifts,schedulewithdrawn
microsoftteams,microsoftteamsshifts,shiftadded
microsoftteams,microsoftteamsshifts,shiftdeleted
microsoftteams,microsoftteamsshifts,shiftedited
microsoftteams,microsoftteamsshifts,timeclockentryadded
microsoftteams,microsoftteamsshifts,timeclockentrydeleted
microsoftteams,microsoftteamsshifts,timeoffadded
microsoftteams,microsoftteamsshifts,timeoffdeleted
microsoftteams,microsoftteamsshifts,timeoffedited
microsoftteams,microsoftteamsshifts,workforceintegrationadded
microsoftteams,OpticalCharacterRecognition,OCRTextExtracted
microsoftteams,teamseasyapprovals,approvedrequest
microsoftteams,teamseasyapprovals,canceledapprovalrequest
microsoftteams,teamseasyapprovals,createdapproval
microsoftteams,teamseasyapprovals,createorgscopedtemplateinstance
microsoftteams,teamseasyapprovals,createteamscopedtemplateinstance
microsoftteams,teamseasyapprovals,editorgscopedtemplateinstance
microsoftteams,teamseasyapprovals,editteamscopedtemplateinstance
microsoftteams,teamseasyapprovals,getorgscopedtemplateinstance
microsoftteams,teamseasyapprovals,getteamscopedtemplateinstance
microsoftteams,teamseasyapprovals,reassignedapprovalrequest
microsoftteams,teamseasyapprovals,rejectedapprovalrequest
MicrosoftTeams,TeamsEasyApprovals,RespondedToApproval
microsoftteams,teamseasyapprovals,respondedwithcustomresponse
MicrosoftTeams,TeamsEasyApprovals,ViewApprovalRequest
microsoftteams,teamseasyapprovals,viewedapprovalrequest
MicrosoftTeams,TeamsEasyApprovals,ViewedApprovalWithAdditionalField
MicrosoftTeams,TeamsEasyApprovals,ViewedApprovalWithGroupRequest
microsoftteams,teamshealthcare,ehrconnectionset
microsoftteams,teamshealthcare,patientdetailsedit
microsoftteams,teamshealthcare,patientlistaddpatient
microsoftteams,teamshealthcare,patientlistcreate
microsoftteams,teamshealthcare,patientlistdelete
microsoftteams,teamshealthcare,patientlisteditcolumns
microsoftteams,teamshealthcare,patientlistremovepatient
microsoftteams,teamshealthcare,patientlistrename
microsoftteams,teamshealthcare,patientlistsetdefault
microsoftteams,teamshealthcare,patientlistview
microsoftteams,teamshealthcare,patientnoteadd
microsoftteams,teamshealthcare,patientschemacreate
microsoftteams,teamshealthcare,patientschemaupdate
microsoftteams,teamshealthcare,patientsearch
microsoftteams,teamshealthcare,patientview
microsoftteams,teamsupdates,createupdaterequest
microsoftteams,teamsupdates,deleteupdaterequest
microsoftteams,teamsupdates,editupdaterequest
microsoftteams,teamsupdates,submitupdate
microsoftteams,teamsupdates,viewupdate
microsofttodo,microsofttodoaudit,acceptedsharinglinkonfolder
microsofttodo,microsofttodoaudit,attachmentcreated
microsofttodo,microsofttodoaudit,attachmentdeleted
microsofttodo,microsofttodoaudit,linkedentitycreated
microsofttodo,microsofttodoaudit,linkedentitydeleted
microsofttodo,microsofttodoaudit,linkedentityupdated
microsofttodo,microsofttodoaudit,setsharinglinkonfolder
microsofttodo,microsofttodoaudit,subtaskcreated
microsofttodo,microsofttodoaudit,subtaskdeleted
microsofttodo,microsofttodoaudit,subtaskupdated
microsofttodo,microsofttodoaudit,taskcreated
microsofttodo,microsofttodoaudit,taskdeleted
microsofttodo,microsofttodoaudit,tasklistcreated
microsofttodo,microsofttodoaudit,tasklistdeleted
microsofttodo,microsofttodoaudit,tasklistread
microsofttodo,microsofttodoaudit,tasklistupdated
microsofttodo,microsofttodoaudit,taskread
microsofttodo,microsofttodoaudit,taskupdated
MicrosoftTodo,MicrosoftTodoAudit,UpdateTask
mip,labelcontentexplorer,labelcontentexploreraccesseditem
mip,miplabelanalyticsauditrecord,accessedaggregates
mip,miplabelanalyticsauditrecord,accesseditemdownload
mip,miplabelanalyticsauditrecord,accesseditempreview
MIP,MipLabelAnalyticsAuditRecord,AccessedSiteList
mip,miplabelanalyticsauditrecord,accesseduserlist
MIP,MipLabelAnalyticsAuditRecord,SearchedSiteList
mipexactdatamatch,mipexactdatamatch,createrulepackage
mipexactdatamatch,mipexactdatamatch,createschema
mipexactdatamatch,mipexactdatamatch,editrulepackage
mipexactdatamatch,mipexactdatamatch,editschema
mipexactdatamatch,mipexactdatamatch,removerulepackage
mipexactdatamatch,mipexactdatamatch,removeschema
mipexactdatamatch,mipexactdatamatch,uploaddatacompleted
mwc,powerbiaudit,exportactivityevents
myanalytics,myanalyticssettings,updatedorganizationmyanalyticssettings
myanalytics,myanalyticssettings,updatedusermyanalyticssettings
officeapps,officescriptsrunaction,ranofficescriptonfile
OfficeClient,OfficeRestrictedModeAction,ActiveXBlocked
OfficeClient,OfficeRestrictedModeAction,AlwaysOnVBABlocked
OfficeClient,OfficeRestrictedModeAction,AMSIVBABlocked
OfficeClient,OfficeRestrictedModeAction,AppBlocked
OfficeClient,OfficeRestrictedModeAction,BasicAuthBlocked
OfficeClient,OfficeRestrictedModeAction,COMObjectBlocked
OfficeClient,OfficeRestrictedModeAction,DDELookupBlocked
OfficeClient,OfficeRestrictedModeAction,DDEServerLaunchBlocked
OfficeClient,OfficeRestrictedModeAction,ExternalLinkFileBlocked
OfficeClient,OfficeRestrictedModeAction,ExternalLinkFTPBlocked
OfficeClient,OfficeRestrictedModeAction,ExternalLinkHTTPBlocked
OfficeClient,OfficeRestrictedModeAction,FileBlocked
OfficeClient,OfficeRestrictedModeAction,FRPCBlocked
OfficeClient,OfficeRestrictedModeAction,FTPBlocked
OfficeClient,OfficeRestrictedModeAction,FunctionImportCSVBlocked
OfficeClient,OfficeRestrictedModeAction,FunctionImportTextBlocked
OfficeClient,OfficeRestrictedModeAction,FunctionWebserviceBlocked
OfficeClient,OfficeRestrictedModeAction,HighestRiskVBABlocked
OfficeClient,OfficeRestrictedModeAction,HKCUAddinBlocked
OfficeClient,OfficeRestrictedModeAction,HTTPBlocked
OfficeClient,OfficeRestrictedModeAction,LowerRiskVBABlocked
OfficeClient,OfficeRestrictedModeAction,MediumRiskVBABlocked
OfficeClient,OfficeRestrictedModeAction,MOTWVBABlocked
OfficeClient,OfficeRestrictedModeAction,SideloadedAddinBlocked
OfficeClient,OfficeRestrictedModeAction,UntrustedMicrosoftQueryFileBlocked
OfficeClient,OfficeRestrictedModeAction,UserEnabledLowerRiskVBABlocked
OfficeClient,OfficeRestrictedModeAction,UserEnabledMediumRiskVBABlocked
OfficeClient,OfficeRestrictedModeAction,WebAddinBlocked
OfficeClient,OfficeRestrictedModeAction,WebDAVBlocked
OfficeClient,OfficeRestrictedModeAction,XLMBlocked
PublicEndpoint,OfficeRestrictedModeAction,ActiveXBlocked
PublicEndpoint,OfficeRestrictedModeAction,AlwaysOnVBABlocked
PublicEndpoint,OfficeRestrictedModeAction,AMSIVBABlocked
PublicEndpoint,OfficeRestrictedModeAction,AppBlocked
PublicEndpoint,OfficeRestrictedModeAction,BasicAuthBlocked
PublicEndpoint,OfficeRestrictedModeAction,COMObjectBlocked
PublicEndpoint,OfficeRestrictedModeAction,DDELookupBlocked
PublicEndpoint,OfficeRestrictedModeAction,DDEServerLaunchBlocked
PublicEndpoint,OfficeRestrictedModeAction,ExternalLinkFileBlocked
PublicEndpoint,OfficeRestrictedModeAction,ExternalLinkFTPBlocked
PublicEndpoint,OfficeRestrictedModeAction,ExternalLinkHTTPBlocked
PublicEndpoint,OfficeRestrictedModeAction,FileBlocked
PublicEndpoint,OfficeRestrictedModeAction,FRPCBlocked
PublicEndpoint,OfficeRestrictedModeAction,FTPBlocked
PublicEndpoint,OfficeRestrictedModeAction,FunctionImportCSVBlocked
PublicEndpoint,OfficeRestrictedModeAction,FunctionImportTextBlocked
PublicEndpoint,OfficeRestrictedModeAction,FunctionWebserviceBlocked
PublicEndpoint,OfficeRestrictedModeAction,HighestRiskVBABlocked
PublicEndpoint,OfficeRestrictedModeAction,HKCUAddinBlocked
PublicEndpoint,OfficeRestrictedModeAction,HTTPBlocked
PublicEndpoint,OfficeRestrictedModeAction,LowerRiskVBABlocked
PublicEndpoint,OfficeRestrictedModeAction,MediumRiskVBABlocked
PublicEndpoint,OfficeRestrictedModeAction,MOTWVBABlocked
PublicEndpoint,OfficeRestrictedModeAction,SideloadedAddinBlocked
PublicEndpoint,OfficeRestrictedModeAction,UntrustedMicrosoftQueryFileBlocked
PublicEndpoint,OfficeRestrictedModeAction,UserEnabledLowerRiskVBABlocked
PublicEndpoint,OfficeRestrictedModeAction,UserEnabledMediumRiskVBABlocked
PublicEndpoint,OfficeRestrictedModeAction,WebAddinBlocked
PublicEndpoint,OfficeRestrictedModeAction,WebDAVBlocked
PublicEndpoint,OfficeRestrictedModeAction,XLMBlocked
onedrive,compliancedlmsharepoint,filepreservedproactively
onedrive,complianceDLMSharePoint,fileRecycled
onedrive,complianceDLMSharePoint,FileRestoredFromPurviewBackupLibrary
onedrive,complianceDLMSharePoint,FileRestoredFromRecycleBin
onedrive,complianceDLMSharePoint,PriorityCleanupFileDeleted
onedrive,complianceDLMSharePoint,PriorityCleanupFileRecycled
onedrive,complianceDLMSharePoint,PriorityCleanupTagApplied
onedrive,compliancedlpexchange,dlprulematch
onedrive,compliancedlpexchange,dlpruleundo
onedrive,compliancedlpexchange,miplabel
onedrive,compliancedlpsharepoint,dlpinfo
onedrive,compliancedlpsharepoint,dlprulematch
onedrive,compliancedlpsharepoint,dlpruleundo
onedrive,compliancedlpsharepointclassification,dlpclassification
onedrive,compliancedlpsharepointclassification,dlpdeclassification
onedrive,CompliancePolicyGradingSharePoint,CompliancePolicyGraded
onedrive,ComplianceSitGradingSharePoint,ComplianceSitGraded
onedrive,exchangeadmin,add-distributiongroupmember
onedrive,exchangeadmin,add-mailboxfolderpermission
onedrive,exchangeadmin,add-mailboxpermission
onedrive,exchangeadmin,add-publicfolderclientpermission
onedrive,exchangeadmin,add-recipientpermission
onedrive,exchangeadmin,add-unifiedgrouplinks
onedrive,exchangeadmin,disable-inboxrule
onedrive,exchangeadmin,enable-mailbox
onedrive,exchangeadmin,install-defaultsharingpolicy
onedrive,exchangeadmin,new-foldermoverequest
onedrive,exchangeadmin,new-inboxrule
onedrive,exchangeadmin,new-mailbox
onedrive,exchangeadmin,new-mailcontact
onedrive,exchangeadmin,new-managementroleassignment
onedrive,exchangeadmin,new-migrationbatch
onedrive,exchangeadmin,new-mobiledevicemailboxpolicy
onedrive,exchangeadmin,new-moverequest
onedrive,exchangeadmin,remove-distributiongroupmember
onedrive,exchangeadmin,remove-mailboxlocation
onedrive,exchangeadmin,remove-mailboxpermission
onedrive,exchangeadmin,remove-migrationbatch
onedrive,exchangeadmin,remove-mobiledevice
onedrive,exchangeadmin,remove-recipientpermission
onedrive,exchangeadmin,remove-unifiedgroup
onedrive,exchangeadmin,remove-unifiedgrouplinks
onedrive,exchangeadmin,resume-moverequest
onedrive,exchangeadmin,set-addresslist
onedrive,exchangeadmin,set-casmailbox
onedrive,exchangeadmin,set-conditionalaccesspolicy
onedrive,exchangeadmin,set-contact
onedrive,exchangeadmin,set-distributiongroup
onedrive,exchangeadmin,set-hostedconnectionfilterpolicy
onedrive,exchangeadmin,set-mailbox
onedrive,exchangeadmin,set-mailboxfolderpermission
onedrive,exchangeadmin,set-mailcontact
onedrive,exchangeadmin,set-mailuser
onedrive,exchangeadmin,set-migrationbatch
onedrive,exchangeadmin,set-syncmailuser
onedrive,exchangeadmin,set-syncuser
onedrive,exchangeadmin,set-transportconfig
onedrive,exchangeadmin,set-transportrule
onedrive,exchangeadmin,set-unifiedgroup
onedrive,exchangeadmin,set-user
onedrive,exchangeadmin,start-managedfolderassistant
onedrive,exchangeadmin,stop-migrationbatch
onedrive,exchangeaggregatedoperation,aggregatedharddelete
onedrive,exchangeitem,addfolderpermissions
onedrive,exchangeitem,create
onedrive,exchangeitem,folderbind
onedrive,exchangeitem,mailboxlogin
onedrive,exchangeitem,mailitemsaccessed
onedrive,exchangeitem,messagebind
onedrive,exchangeitem,modifyfolderpermissions
onedrive,exchangeitem,removefolderpermissions
onedrive,exchangeitem,sendas
onedrive,exchangeitem,sendonbehalf
onedrive,exchangeitem,update
onedrive,exchangeitem,updateinboxrules
onedrive,exchangeitemaggregated,mailitemsaccessed
onedrive,exchangeitemgroup,harddelete
onedrive,exchangeitemgroup,move
onedrive,exchangeitemgroup,movetodeleteditems
onedrive,exchangeitemgroup,softdelete
onedrive,ondemandsharepointclassification,datascanalreadyclassified
onedrive,ondemandsharepointclassification,datascanclassification
onedrive,ondemandsharepointclassification,datascandeclassification
onedrive,privacydataminimization,unusedpersonaldatadetected
onedrive,project,connectedsitesettingmodified
onedrive,project,customfieldorlookuptablecreated
onedrive,project,customfieldorlookuptabledeleted
onedrive,project,customfieldorlookuptablemodified
onedrive,project,delegatemodified
onedrive,project,delegateremoved
onedrive,project,engagementaccepted
onedrive,project,engagementmodified
onedrive,project,enterprisecalendarmodified
onedrive,project,entitydeleted
onedrive,project,lookandfeelmodified
onedrive,project,permissionsyncsettingmodified
onedrive,project,portfoliodataaccessed
onedrive,project,portfoliodatamodified
onedrive,project,projectaccessed
onedrive,project,projectcheckedin
onedrive,project,projectcheckedout
onedrive,project,projectcreated
onedrive,project,projectdeleted
onedrive,project,projectforcecheckedin
onedrive,project,projectmodified
onedrive,project,projectpublished
onedrive,project,projectworkflowrestarted
onedrive,project,pwasettingsaccessed
onedrive,project,pwasettingsmodified
onedrive,project,queuejobstatemodified
onedrive,project,reportingaccessed
onedrive,project,reportingsettingmodified
onedrive,project,resourceaccessed
onedrive,project,resourcecheckedin
onedrive,project,resourcecheckedout
onedrive,project,resourcecreated
onedrive,project,resourcedeleted
onedrive,project,resourceforcecheckedin
onedrive,project,resourcemodified
onedrive,project,resourceplancheckedinorout
onedrive,project,resourceplanmodified
onedrive,project,securitycategorymodified
onedrive,project,securitygroupmodified
onedrive,project,statusreportmodified
onedrive,project,taskstatusaccessed
onedrive,project,taskstatusapproved
onedrive,project,taskstatusrejected
onedrive,project,taskstatussaved
onedrive,project,taskstatussubmitted
onedrive,project,timesheetaccessed
onedrive,project,timesheetapproved
onedrive,project,timesheetrejected
onedrive,project,timesheetsaved
onedrive,project,timesheetsubmitted
onedrive,project,workflowmodified
onedrive,sharepoint,accessrequestsitedescriptionmodified
onedrive,sharepoint,addressbarlinkdisabled
onedrive,sharepoint,addressbarlinkreenabled
onedrive,sharepoint,administratoraddedtotermstore
onedrive,sharepoint,administratordeletedfromtermstore
