 workload,recordtype,operation
azureactivedirectory,azureactivedirectory,device no longer managed.
azureactivedirectory,azureactivedirectory,directory deleted 
azureactivedirectory,azureactivedirectory,directory deleted permanently
azureactivedirectory,azureactivedirectory,directory deleted
azureactivedirectory,azureactivedirectory,directory scheduled for deletion (lifecycle)
azureactivedirectory,azureactivedirectory,directory scheduled for deletion (userrequest)
azureactivedirectory,azureactivedirectory,directory scheduled for deletion
azureactivedirectory,azureactivedirectory,disable account.
azureactivedirectory,azureactivedirectory,disable strong authentication.
azureactivedirectory,azureactivedirectory,eligibleroleassignement from roledefinition.
azureactivedirectory,azureactivedirectory,enable account.
azureactivedirectory,azureactivedirectory,enable strong authentication.
azureactivedirectory,azureactivedirectory,finish applying group based license to users.
azureactivedirectory,azureactivedirectory,grant contextual consent to application.
azureactivedirectory,azureactivedirectory,group to be managed by user.
azureactivedirectory,azureactivedirectory,hard delete administrative unit.
azureactivedirectory,azureactivedirectory,hard delete application.
azureactivedirectory,azureactivedirectory,hard delete externaluserprofile.
azureactivedirectory,azureactivedirectory,hard delete group.
azureactivedirectory,azureactivedirectory,hard delete pendingexternaluserprofile.
AzureActiveDirectory,AzureActiveDirectory,Hard delete service principal.
azureactivedirectory,azureactivedirectory,hard delete user.
azureactivedirectory,azureactivedirectory,kerberos domain.
azureactivedirectory,azureactivedirectory,label from group.
azureactivedirectory,azureactivedirectory,not available
azureactivedirectory,azureactivedirectory,permission grant policy.
azureactivedirectory,azureactivedirectory,promote company to partner.
azureactivedirectory,azureactivedirectory,promote sub domain to root domain.
azureactivedirectory,azureactivedirectory,remove app role assignment from group.
azureactivedirectory,azureactivedirectory,remove app role assignment from service principal.
azureactivedirectory,azureactivedirectory,remove app role assignment from user.
azureactivedirectory,azureactivedirectory,remove delegated permission grant.
AzureActiveDirectory,AzureActiveDirectory,Remove eligible member from group.
azureactivedirectory,azureactivedirectory,remove eligible member from role.
azureactivedirectory,azureactivedirectory,remove eligibleroleassignement from roledefinition.
azureactivedirectory,azureactivedirectory,remove label from group.
azureactivedirectory,azureactivedirectory,remove member from administrative unit.
azureactivedirectory,azureactivedirectory,remove member from group.
AzureActiveDirectory,AzureActiveDirectory,Remove member from restricted management administrative unit.
azureactivedirectory,azureactivedirectory,remove member from role.
azureactivedirectory,azureactivedirectory,remove oauth2permissiongrant.
azureactivedirectory,azureactivedirectory,remove owner from application.
azureactivedirectory,azureactivedirectory,remove owner from group.
azureactivedirectory,azureactivedirectory,remove owner from policy.
azureactivedirectory,azureactivedirectory,remove owner from service principal.
azureactivedirectory,azureactivedirectory,remove partner from company.
azureactivedirectory,azureactivedirectory,remove policy credentials.
azureactivedirectory,azureactivedirectory,remove policy from application.
azureactivedirectory,azureactivedirectory,remove policy from service principal.
azureactivedirectory,azureactivedirectory,remove registered owner from device.
azureactivedirectory,azureactivedirectory,remove registered users from device.
azureactivedirectory,azureactivedirectory,remove role assignment from role definition.
azureactivedirectory,azureactivedirectory,remove scoped member from role.
azureactivedirectory,azureactivedirectory,remove service principal credentials.
azureactivedirectory,azureactivedirectory,remove service principal.
azureactivedirectory,azureactivedirectory,remove unverified domain.
AzureActiveDirectory,AzureActiveDirectory,Remove user sponsor.
azureactivedirectory,azureactivedirectory,remove users strong authentication phone app detail.
azureactivedirectory,azureactivedirectory,remove verified domain.
azureactivedirectory,azureactivedirectory,reset user password.
azureactivedirectory,azureactivedirectory,restore application.
azureactivedirectory,azureactivedirectory,restore group.
azureactivedirectory,azureactivedirectory,restore kerberos domain.
azureactivedirectory,azureactivedirectory,restore user.
azureactivedirectory,azureactivedirectory,revoke consent.
azureactivedirectory,azureactivedirectory,schedule add sharedemaildomain.
azureactivedirectory,azureactivedirectory,set accidental deletion threshold.
azureactivedirectory,azureactivedirectory,set company allowed data location.
azureactivedirectory,azureactivedirectory,set company information.
azureactivedirectory,azureactivedirectory,set company multinational feature enabled.
azureactivedirectory,azureactivedirectory,set directory feature on tenant.
azureactivedirectory,azureactivedirectory,set dirsync feature.
azureactivedirectory,azureactivedirectory,set dirsyncenabled flag.
azureactivedirectory,azureactivedirectory,set domain authentication.
azureactivedirectory,azureactivedirectory,set federation settings on domain.
azureactivedirectory,azureactivedirectory,set force change user password.
azureactivedirectory,azureactivedirectory,set group license.
azureactivedirectory,azureactivedirectory,set group to be managed by user.
azureactivedirectory,azureactivedirectory,set partnership
azureactivedirectory,azureactivedirectory,set password policy.
azureactivedirectory,azureactivedirectory,set user manager.
azureactivedirectory,azureactivedirectory,set users oath token metadata enabled.
azureactivedirectory,azureactivedirectory,sharedemaildomaininvitation.
azureactivedirectory,azureactivedirectory,start applying group based license to users.
azureactivedirectory,azureactivedirectory,sub domain to root domain.
azureactivedirectory,azureactivedirectory,trigger group license recalculation.
azureactivedirectory,azureactivedirectory,update a partner cross-tenant access setting.
azureactivedirectory,azureactivedirectory,update administrative unit.
AzureActiveDirectory,AzureActiveDirectory,Update agreement.
azureactivedirectory,azureactivedirectory,update application – certificates and secrets management 
azureactivedirectory,azureactivedirectory,update application – certificates and secrets management
azureactivedirectory,azureactivedirectory,update application.
AzureActiveDirectory,AzureActiveDirectory,Update attribute values assigned to a servicePrincipal.
AzureActiveDirectory,AzureActiveDirectory,Update attribute values assigned to a user.
azureactivedirectory,azureactivedirectory,update authorization policy.
AzureActiveDirectory,AzureActiveDirectory,Update Company Branding Locale.
azureactivedirectory,azureactivedirectory,update company settings
azureactivedirectory,azureactivedirectory,update company
azureactivedirectory,azureactivedirectory,update contact.
azureactivedirectory,azureactivedirectory,update device configuration.
azureactivedirectory,azureactivedirectory,update device.
azureactivedirectory,azureactivedirectory,update domain.
azureactivedirectory,azureactivedirectory,update external secrets
azureactivedirectory,azureactivedirectory,update group settings
azureactivedirectory,azureactivedirectory,update group.
azureactivedirectory,azureactivedirectory,update kerberos domain.
azureactivedirectory,azureactivedirectory,update label.
AzureActiveDirectory,AzureActiveDirectory,Update OnPremesisExtensionAttributes.
AzureActiveDirectory,AzureActiveDirectory,Update PasswordProfile.
azureactivedirectory,azureactivedirectory,update pendingexternaluserprofile.
azureactivedirectory,azureactivedirectory,update permission grant policy.
azureactivedirectory,azureactivedirectory,update policy.
azureactivedirectory,azureactivedirectory,update role definition.
azureactivedirectory,azureactivedirectory,update role.
azureactivedirectory,azureactivedirectory,update service principal.
azureactivedirectory,azureactivedirectory,update sharedemaildomain.
azureactivedirectory,azureactivedirectory,update stsrefreshtokenvalidfrom timestamp.
AzureActiveDirectory,AzureActiveDirectory,Update the company default cross-tenant access setting.
azureactivedirectory,azureactivedirectory,update user.
AzureActiveDirectory,AzureActiveDirectory,Updating allowed assignable roles.
azureactivedirectory,azureactivedirectory,user consent disabled.
azureactivedirectory,azureactivedirectory,user consent enabled.
AzureActiveDirectory,AzureActiveDirectory,Validate Password.
azureactivedirectory,azureactivedirectory,verify domain.
azureactivedirectory,azureactivedirectory,verify email verified domain.
